urls,original_index,resolved_url,http_status,datetime_utc,fetch_error,path,mimetype,encoding,body_size
https://www.governo.it/it/articolo/gli-auguri-del-presidente-meloni-al-presidente-della-repubblica-mattarella/26284,1676,https://www.governo.it/it/articolo/gli-auguri-del-presidente-meloni-al-presidente-della-repubblica-mattarella/26284,200,2025-11-01T18:20:39.911276,,59016ebf7e99c3b639856a65b13841f7.html,text/html,utf-8,41891
https://www.governo.it/it/articolo/investimenti-nella-zes-unica-nota-di-palazzo-chigi/27259,851,https://www.governo.it/it/articolo/investimenti-nella-zes-unica-nota-di-palazzo-chigi/27259,200,2025-11-01T18:20:41.698473,,f083782ba368fc4759e6e44bc39b9d18.html,text/html,utf-8,42639
https://www.governo.it/it/articolo/la-lettera-del-presidente-meloni-sua-santit-papa-leone-xiv/28380,1226,https://www.governo.it/it/articolo/la-lettera-del-presidente-meloni-sua-santit-papa-leone-xiv/28380,200,2025-11-01T18:20:43.123908,,d74a98efbd25162f7584ec81056ff297.html,text/html,utf-8,42572
https://www.governo.it/it/articolo/camera-il-presidente-meloni-partecipa-alla-cerimonia-di-presentazione-del-nuovo,970,https://www.governo.it/it/articolo/camera-il-presidente-meloni-partecipa-alla-cerimonia-di-presentazione-del-nuovo,200,2025-11-01T18:20:45.016860,,60e39b5385c92d144a9e75edf0c261ee.html,text/html,utf-8,43518
https://www.governo.it/it/articolo/insediata-la-cabina-di-coordinamento-della-vulnerabilit-sismica-degli-edifici-pubblici,1480,https://www.governo.it/it/articolo/insediata-la-cabina-di-coordinamento-della-vulnerabilit-sismica-degli-edifici-pubblici,200,2025-11-01T18:20:46.571705,,d57233e12b820a1c40a776815f085d47.html,text/html,utf-8,42635
https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n105/27154,854,https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n105/27154,200,2025-11-01T18:20:48.105950,,7c24d5b67992f06a5884b60381130d6e.html,text/html,utf-8,40172
https://www.governo.it/it/articolo/aziende-crisi-dal-consiglio-dei-ministri-un-decreto-tutela-della-continuit-produttiva-e,1704,https://www.governo.it/it/articolo/aziende-crisi-dal-consiglio-dei-ministri-un-decreto-tutela-della-continuit-produttiva-e,200,2025-11-01T18:20:49.686662,,b23d7033c782ad169dc9c3a2586f18bd.html,text/html,utf-8,42959
https://www.governo.it/it/articolo/pnrr-la-commissione-europea-ha-versato-oggi-all-italia-la-quinta-rata/26428,1274,https://www.governo.it/it/articolo/pnrr-la-commissione-europea-ha-versato-oggi-all-italia-la-quinta-rata/26428,200,2025-11-01T18:20:51.334564,,4a404232943195ebd55adae801dd9aee.html,text/html,utf-8,43944
https://www.governo.it/it/articolo/rome-med-dialogues-intervento-del-presidente-meloni/27134,1654,https://www.governo.it/it/articolo/rome-med-dialogues-intervento-del-presidente-meloni/27134,200,2025-11-01T18:20:52.957916,,c16e2e5dbfcffb5b4d7a5404ba6217c8.html,text/html,utf-8,41726
https://www.governo.it/it/articolo/incontro-con-il-presidente-dello-stato-d-israele/26294,1076,https://www.governo.it/it/articolo/incontro-con-il-presidente-dello-stato-d-israele/26294,200,2025-11-01T18:20:54.578714,,54981ad5cb57ce39cde2e06b6ac7f563.html,text/html,utf-8,42033
https://www.governo.it/it/articolo/venezuela-la-dichiarazione-del-presidente-del-consiglio-giorgia-meloni/27451,1646,https://www.governo.it/it/articolo/venezuela-la-dichiarazione-del-presidente-del-consiglio-giorgia-meloni/27451,200,2025-11-01T18:20:56.230421,,33de87ea1a58b39500705cac33b543ed.html,text/html,utf-8,41406
https://www.governo.it/it/articolo/il-presidente-del-consiglio-meloni-al-vertice-dei-leader-ue-balcani-occidentali/21196,1390,https://www.governo.it/it/articolo/il-presidente-del-consiglio-meloni-al-vertice-dei-leader-ue-balcani-occidentali/21196,200,2025-11-01T18:20:57.889682,,2ed68cc5a850785a7fbe5fa559a6d90a.html,text/html,utf-8,43327
https://www.governo.it/it/articolo/incontro-del-presidente-meloni-e-del-ministro-giorgetti-con-il-direttore-e-il-segretario,1382,https://www.governo.it/it/articolo/incontro-del-presidente-meloni-e-del-ministro-giorgetti-con-il-direttore-e-il-segretario,200,2025-11-01T18:20:59.700907,,c5698ce529d1bf6361c5e373343b254b.html,text/html,utf-8,42731
https://www.governo.it/it/articolo/israele-il-presidente-meloni-presiede-riunione-palazzo-chigi/23825,1526,https://www.governo.it/it/articolo/israele-il-presidente-meloni-presiede-riunione-palazzo-chigi/23825,200,2025-11-01T18:21:01.313812,,be950c2e3db289bb6530e035f9632cd7.html,text/html,utf-8,41796
https://www.governo.it/it/articolo/conversazione-telefonica-meloni-michel/24804,1703,https://www.governo.it/it/articolo/conversazione-telefonica-meloni-michel/24804,200,2025-11-01T18:21:02.894689,,20c5c16b7d1576c3f3f34d21ca51339e.html,text/html,utf-8,41231
https://www.governo.it/it/articolo/dichiarazione-congiunta-di-stati-uniti-regno-unito-francia-germania-e-italia-sul-medio,873,https://www.governo.it/it/articolo/dichiarazione-congiunta-di-stati-uniti-regno-unito-francia-germania-e-italia-sul-medio,200,2025-11-01T18:21:04.453493,,3e07b812e4683f41215e3e0be145acc1.html,text/html,utf-8,43537
